id;nome;matricula;status_sigaa
1;bandwidth 1080p;Rand;CONCLUIDO
2;invoice;Croatian;EXCLUIDO
3;applications cross-platform Amazonas;SDD action-items;ATIVO
4;Auto deposit Ergonômico;alliance Nepalese Gostoso;GRADUANDO
5;Pernambuco contingency US;Samoa Designer;EXCLUIDO
6;payment model;Buckinghamshire;EXCLUIDO
7;Hong firewall Forint;driver Travessa systems;FORMANDO
8;Enhanced Buckinghamshire;Intranet Líbia esmeralda;CONCLUIDO
9;Human adapter Buckinghamshire;Lustroso;GRADUANDO
10;virtual Botsuana input;interface synthesize copying;GRADUANDO
