id;aluno;cod_defesa;status_defesa;data
1;Svalbard array Borracha;invoice Versatile;CONCLUIDO;2022-07-03
2;Dynamic Mauritius withdrawal;payment payment;CONCLUIDO;2022-07-04
3;bandwidth composite connect;Applications Quality-focused;CONCLUIDO;2022-07-03
4;Investment;calculate índigo International;ATIVO;2022-07-03
5;partnerships Teclado;Travessa Ariary;ATIVO;2022-07-04
6;synthesizing edge;leading Brand Piauí;CONCLUIDO;2022-07-03
7;portals Customer Luvas;matrix;ATIVO;2022-07-04
8;TCP;1080p Buckinghamshire;DEFENDIDO;2022-07-04
9;Amazonas Central;Krona;DEFENDIDO;2022-07-04
10;Madeira Dynamic XSS;Kuwaiti Rua;DEFENDIDO;2022-07-04
